gw,ars,avl,bha,bur,che,cry,eve,ful,lee,lei,liv,mci,mun,new,shu,sou,tot,wba,whu,wol
1,2,,3,,2,3,4,3,5,2,2,,,2,3,2,2,3,2,4
2,2,3,3,4,4,4,2,2,2,3,4,3,2,2,2,3,2,3,4,4
3,5,2,4,3,2,2,2,2,4,5,3,3,2,4,2,3,2,3,3,2
4,3,4,3,3,2,4,2,3,4,2,2,2,3,3,4,2,4,2,4,2
5,5,4,2,2,3,2,4,4,3,2,3,3,3,4,2,4,2,3,4,2
6,3,2,2,3,4,2,2,2,2,4,3,2,3,3,5,2,3,2,4,2
7,4,3,4,3,3,3,3,2,3,2,2,4,3,2,4,2,2,2,5,2
8,2,4,3,2,3,2,4,2,2,3,5,4,3,2,4,2,2,3,2,4
9,2,2,2,2,3,3,2,2,3,5,3,4,2,3,2,3,4,4,4,3
10,3,2,4,5,3,2,2,4,3,2,2,3,2,2,2,4,4,3,2,4
11,4,2,3,2,2,2,3,5,4,4,3,2,2,2,3,2,3,2,4,5
12,3,3,4,4,3,3,3,4,2,2,2,4,4,2,2,3,2,3,2,2
13,3,3,2,2,3,2,4,2,2,2,3,2,4,2,4,4,5,5,2,3
14,3,2,3,3,2,4,3,3,4,4,2,2,2,2,2,4,3,2,4,3
15,3,2,2,2,4,2,4,3,3,4,2,2,4,5,2,2,3,5,2,3
16,2,4,3,3,2,3,4,4,2,2,3,3,3,4,3,2,2,2,2,4
17,2,4,3,2,4,3,2,3,4,3,2,4,2,3,2,4,2,3,3,2
18,2,3,5,5,4,4,3,4,3,3,3,2,2,4,2,2,2,2,2,2
19,2,2,2,2,2,5,2,3,2,3,4,2,5,4,3,4,4,3,3,2
20,2,3,2,2,3,2,3,2,3,3,4,2,3,2,4,3,4,4,2,4